cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00031134,Patrick Meehan (R-Pa),107024,595000,351012,2014,H,Center for Responsive Politics,,414
N00000699,Robert Menendez (D-NJ),117005,579998,348501,2014,S,Center for Responsive Politics,,415
N00031877,Karen Bass (D-Calif),195005,500000,347502,2014,H,Center for Responsive Politics,,416
N00030744,Mike Pompeo (R-Kan),149022,541000,345011,2014,H,Center for Responsive Politics,,417
N00033518,Doug Collins (R-Ga),118006,564998,341502,2014,H,Center for Responsive Politics,,418
N00031233,Andy Barr (R-Ky),131018,540000,335509,2014,H,Center for Responsive Politics,,419
N00027623,Adrian Smith (R-Neb),84015,584999,334507,2014,H,Center for Responsive Politics,,420
N00033527,David Rouzer (R-NC),-238972,903996,332512,2014,H,Center for Responsive Politics,,421
N00033549,Mark Pocan (D-Wis),185001,474999,330000,2014,H,Center for Responsive Politics,,422
N00033842,Mia Love (R-Utah),141015,516000,328507,2014,H,Center for Responsive Politics,,423
N00001193,Pete King (R-NY),200003,450000,325001,2014,H,Center for Responsive Politics,,424
N00035927,Kathleen Rice (D-NY),157010,480000,318505,2014,H,Center for Responsive Politics,,425
N00000575,John B Larson (D-Conn),39041,587000,313020,2014,H,Center for Responsive Politics,,426
N00003209,John J Duncan Jr (R-Tenn),164010,460000,312005,2014,H,Center for Responsive Politics,,427
N00009759,Rick Larsen (D-Wash),131019,490000,310509,2014,H,Center for Responsive Politics,,428
N00034784,Rodney Davis (R-Ill),134015,485000,309507,2014,H,Center for Responsive Politics,,429
N00028152,Kevin McCarthy (R-Calif),182008,431000,306504,2014,H,Center for Responsive Politics,,430
N00009975,Lindsey Graham (R-SC),-48981,640999,296009,2014,S,Center for Responsive Politics,,431
N00026457,Ted Poe (R-Texas),-9985,599999,295007,2014,H,Center for Responsive Politics,,432
N00024870,Linda Sanchez (D-Calif),-432977,1017998,292510,2014,H,Center for Responsive Politics,,433
N00031129,James Lankford (R-Okla),55021,527999,291510,2014,S,Center for Responsive Politics,,434
N00025280,Tim Ryan (D-Ohio),-29990,610998,290504,2014,H,Center for Responsive Politics,,435
N00005681,Pete Sessions (R-Texas),45025,534999,290012,2014,H,Center for Responsive Politics,,436
N00003280,Roger Wicker (R-Miss),-401984,973997,286006,2014,S,Center for Responsive Politics,,437
N00035792,French Hill (R-Ark),56010,514998,285504,2014,H,Center for Responsive Politics,,438
N00009573,Jeff Flake (R-Ariz),51003,514999,283001,2014,S,Center for Responsive Politics,,439
N00029562,Ben R Lujan (D-NM),146005,415000,280502,2014,H,Center for Responsive Politics,,440
